"","non","C","A","G","X","X1","X2","X3","node"
"185",0,1.55058980226282e-05,1.10502586357367e-18,0.999984494101977,4.46109452421611e-20,1.42961000897273e-23,5.54051246047432e-21,2.19367892930728e-46,185
"186",0,1.56185648487408e-17,8.11952950720138e-18,1,2.03520441439457e-31,8.12385533491864e-23,7.93505905010358e-23,1.31056808959481e-44,186
"187",0,6.29808098890562e-18,6.15164891578513e-18,1,7.42697472496472e-32,1.02270941295692e-22,1.02209657324953e-22,2.09918568172029e-44,187
"188",0,6.25080280236357e-18,6.2470571484537e-18,1,8.76356708385537e-32,3.46331490920147e-22,3.46326263436779e-22,2.40500035810907e-43,188
"189",0,3.10570187756131e-05,1.47149719821253e-18,0.999968942981224,2.23595726929328e-19,2.16563557303641e-23,4.56062004281674e-19,1.11732846058094e-45,189
"190",0,1.04508596531322e-17,9.77597402130207e-18,1,1.62567094181321e-31,4.89160596633512e-22,4.8854758366616e-22,4.79561865497912e-43,190
"191",0,0.000648809780769558,1.99171349080675e-17,0.99935119021923,5.05384003744791e-18,2.18578959480477e-22,9.21716339456416e-17,2.1310754287797e-43,191
"192",0,0.0251884218611316,2.26938684188215e-16,0.974811578138865,1.53371289775961e-16,1.11949494083861e-20,2.96812358621656e-15,6.49190692517553e-42,192
"193",0,0.997014132483565,1.59374902723697e-05,0.00296993002616314,1.21811462527363e-21,8.98252216631995e-21,3.21060224095534e-19,2.23536547406459e-50,193
"194",0,0.996954146464554,2.57490160823088e-18,0.00304585353544559,5.90429006787944e-19,1.32742395000916e-23,3.95807667267375e-18,2.65233997000636e-46,194
"195",0,0.997569292847316,1.70852685847529e-17,0.0024307071526842,1.32417499622707e-17,3.75215891350401e-23,1.22259145838635e-17,6.59786968112002e-45,195
"196",0,0.97307343630415,3.66827485353023e-16,0.0269265636958455,4.21437452696042e-15,2.02442569910558e-20,2.29630880782673e-16,2.12494196067156e-41,196
"197",0,1,6.38531854195407e-18,2.78783494144032e-17,8.98543018922917e-23,9.61439508203381e-23,2.27618311862507e-31,1.72725219901489e-44,197
"198",0,1,7.02567883502472e-18,7.67613319037355e-18,2.96170051895724e-22,2.96861933970344e-22,8.77130136850958e-32,1.7678570309817e-43,198
"199",0,0.996340135879479,1.79322104176303e-17,0.0036598641205212,2.1711087393271e-17,3.37291994800653e-23,1.0856657920788e-17,9.48968788244208e-45,199
"200",0,0.97193414022755,4.28739445855537e-16,0.0280658597724461,3.04987222108299e-15,1.58467765604503e-20,1.71846340402762e-16,1.30370159255019e-41,200
"201",0,0.997569662110422,2.02183032723499e-17,0.00243033788957762,1.02038999844933e-16,2.43312056070806e-22,1.30495466124503e-17,2.55575846524565e-43,201
"202",0,0.973073796376012,2.17924131832418e-16,0.0269262036239849,2.77942323246591e-15,1.02907826910612e-20,1.5515531759645e-16,5.49798230528103e-42,202
"203",0,0.999965433593455,3.37053404550661e-05,8.61066089995639e-07,8.54613480068055e-25,1.40309367267769e-21,1.24062415789325e-20,1.05321314850221e-53,203
"204",0,0.999331550933201,0.000666815643024893,1.63342377409639e-06,4.39413995096351e-23,2.91411880645058e-19,2.58777934950438e-20,9.21573806332154e-51,204
"205",0,0.999982378527904,4.21472561543295e-07,1.71999995343192e-05,4.63371916521598e-20,2.43519601879061e-21,1.02540125064576e-19,9.2050350759449e-48,205
"206",0,0.999365033765664,9.39522203825261e-18,0.000634966234335647,1.86581461475443e-17,5.73670204698127e-23,5.55482256234356e-18,9.6419431665215e-45,206
"207",0,0.97482508174263,1.66647545429447e-16,0.0251749182573683,1.05966645091473e-15,4.64777184957639e-21,2.29825558661408e-16,1.1185705536219e-42,207
"208",0,1,9.01058366485544e-18,1.78914592471557e-16,5.06491989384372e-22,3.88966365846873e-22,8.6705443457315e-31,2.7327830081813e-43,208
"209",0,1,9.88924168004779e-19,1.88253268675286e-18,3.20725386977531e-23,3.20150145372048e-23,9.59167226453405e-33,2.05591922592025e-45,209
"210",0,1,5.19859803597365e-18,5.31975787021019e-18,2.8226707918937e-22,2.82432789035045e-22,6.68405518545315e-32,1.59962740893934e-43,210
"211",0,1,5.1904483518769e-18,5.31141824752472e-18,2.82425913597635e-22,2.82591716689921e-22,6.68212621447991e-32,1.60142251120366e-43,211
"212",0,0.999991606725555,8.3932744445328e-06,9.08233509265801e-19,1.51712797159406e-24,7.99355092718266e-20,7.04707047692664e-21,5.16016321612662e-48,212
"213",0,1,1.16044713647358e-17,1.14644449060707e-17,6.86140010334061e-22,6.85969642728687e-22,2.33614455342672e-31,9.43141660242887e-43,213
"214",0,0.999674950055876,0.000325049944123609,5.7907487176996e-18,2.1516977618052e-24,7.73850495987243e-19,2.07318799150689e-19,2.16363294097293e-47,214
"215",0,1,2.27398464813788e-17,1.54790193756553e-17,2.46962381914013e-22,2.46023068517492e-22,1.2009933644466e-31,1.21743486841443e-43,215
"216",0,0.987096080408156,0.0129039195918421,1.42396559612225e-16,1.57786209182307e-21,1.76268318340745e-15,1.6026024467748e-17,3.12368460895094e-43,216
"217",0,0.487413039220186,0.512586960779812,3.50574654764601e-16,3.02167663142059e-21,1.40346180023797e-15,7.01111791946687e-17,2.05087994508527e-42,217
"218",0,0.49999989730226,0.500000102697736,2.01243574930756e-16,9.34724158842747e-21,2.46188848686632e-15,1.38211868563286e-15,6.32897997051791e-42,218
"219",0,0.974206561266495,0.025793438733505,5.1666389378044e-18,4.94482903235113e-24,2.25129321685853e-17,4.14281773154736e-19,1.27896460206408e-48,219
"220",0,0.999382180892994,0.00061781910700581,2.49319563894343e-18,2.08162376113909e-23,1.71727335289401e-19,1.96884818219207e-18,4.99631574778414e-46,220
"221",0,1,2.35140707627443e-17,8.50646801729767e-18,4.37902638322198e-23,4.18775695527703e-23,1.92984623248395e-31,3.7720636647126e-45,221
"222",0,1,1.26992355983485e-17,1.21348478229487e-17,3.50347026951517e-22,3.49936824182776e-22,1.30889142588392e-31,2.46277196336884e-43,222
"223",0,0.998764790541595,0.00123520945840456,1.17971092036466e-17,1.06668073681252e-22,4.08338547235391e-17,1.2302555152362e-17,4.71959884430912e-44,223
"224",0,0.974239577872173,0.0257604221278237,2.25977680933299e-16,1.20068845850278e-20,3.18835846078323e-15,1.7178746509861e-16,7.47940152502505e-42,224
"225",0,1,1.51411478598181e-17,5.47514004955463e-18,3.36988521694659e-22,3.31252170438962e-22,1.47751829428415e-31,2.23432549127989e-43,225
"226",0,1.2813905555521e-16,1,3.31141692879681e-18,2.49068043409101e-23,2.34443748019086e-32,1.26330400702552e-24,3.21236993259039e-47,226
"227",0,1.15202763523847e-17,1,5.8039550783229e-19,9.61634086689121e-24,1.19266983082178e-32,5.05178706861135e-24,1.18635902803452e-46,227
"228",0,1.47301845970764e-18,1,7.73826173059768e-19,1.49484939703948e-23,8.21414417920899e-33,1.46084733738301e-23,4.47462230315688e-46,228
"229",0,5.7439492665199e-18,1,5.6132966383346e-18,1.13065524295061e-22,7.07978017883042e-32,1.12999275501635e-22,2.56453102397157e-44,229
"230",0,5.28343234743738e-18,1,5.28033661433867e-18,3.04766173328952e-22,7.09793165972594e-32,3.04761675352236e-22,1.86246968024494e-43,230
"231",0,5.12074143620845e-18,1,5.00426437559135e-18,1.15852441888954e-22,7.56075523333741e-32,1.1578456017318e-22,2.69141684649488e-44,231
"232",0,5.13804006424908e-18,1,5.13502952116961e-18,2.53527290586595e-22,5.87343462979017e-32,2.53523548828001e-22,1.28941877172232e-43,232
"233",0,1.04717353506938e-18,1,5.5011550183359e-19,1.38611331011829e-23,5.36913738460225e-33,1.35458458163814e-23,3.83453461578854e-46,233
