,non,C,A,G,X,X1,X2,X3,node,tip,Species
276,0,1,5.24E-18,5.24E-18,2.51E-22,2.51E-22,5.86E-32,1.26E-43,276,NA,NA
277,0,1,5.09E-18,5.09E-18,2.54E-22,2.54E-22,5.85E-32,1.30E-43,277,NA,NA
278,0,0.999999999,2.55E-10,5.23E-10,5.62E-26,4.57E-26,3.88E-25,3.55E-53,278,NA,NA
279,0,0.99999998,1.01E-08,1.01E-08,1.13E-24,4.81E-24,9.31E-24,2.02E-51,279,NA,NA
280,0,0.999999598,8.59E-19,4.02E-07,3.93E-21,4.85E-24,1.83E-21,4.76E-47,280,NA,NA
281,0,1,1.50E-17,1.50E-17,5.13E-22,5.13E-22,2.00E-31,5.27E-43,281,NA,NA
282,0,0.999984047,8.74E-18,1.60E-05,1.96E-18,9.59E-23,1.07E-19,2.19E-44,282,NA,NA
283,0,0.999366285,1.96E-17,0.000633715,9.66E-17,1.93E-22,5.14E-18,1.96E-43,283,NA,NA
284,0,0.974826302,2.45E-16,0.025173698,2.60E-15,1.02E-20,1.35E-16,5.39E-42,284,NA,NA
285,0,0.999999598,4.02E-07,2.61E-10,5.70E-25,5.32E-22,4.49E-22,1.98E-49,285,NA,NA
286,0,0.999984047,1.60E-05,1.05E-18,4.69E-24,9.15E-20,5.69E-20,4.92E-47,286,NA,NA
287,0,1,8.74E-18,8.54E-18,8.65E-23,8.65E-23,8.42E-32,1.50E-44,287,NA,NA
288,0,1,5.54E-18,5.54E-18,1.75E-22,1.75E-22,9.24E-32,6.13E-44,288,NA,NA
289,0,1,4.62E-18,4.62E-18,2.97E-22,2.97E-22,6.49E-32,1.77E-43,289,NA,NA
290,0,0.999366285,0.000633715,1.36E-17,4.77E-23,2.44E-17,6.08E-18,1.39E-44,290,NA,NA
291,0,0.974826302,0.025173698,3.43E-16,1.40E-20,3.01E-15,1.57E-16,1.01E-41,291,NA,NA
292,0,1,8.66E-18,4.55E-18,1.11E-22,1.11E-22,8.92E-32,2.46E-44,292,NA,NA
293,0,1,4.39E-18,4.29E-18,2.14E-22,2.14E-22,4.64E-32,9.21E-44,293,NA,NA
294,0,0.999999989,4.96E-10,1.04E-08,1.40E-22,1.18E-23,5.27E-23,5.66E-47,294,NA,NA
295,0,1,8.89E-19,8.89E-19,2.27E-23,2.27E-23,7.05E-33,1.03E-45,295,NA,NA
296,0,1,7.76E-18,7.76E-18,4.39E-22,4.39E-22,1.24E-31,3.86E-43,296,NA,NA
297,0,1,4.95E-18,4.95E-18,7.11E-23,7.11E-23,5.98E-32,1.01E-44,297,NA,NA
298,0,1,6.04E-18,6.04E-18,2.30E-22,2.30E-22,5.77E-32,1.06E-43,298,NA,NA
299,0,0.999999569,1.97E-08,4.11E-07,1.07E-20,5.27E-22,2.39E-21,3.88E-46,299,NA,NA
300,0,1,8.40E-18,8.40E-18,5.51E-22,5.51E-22,1.61E-31,6.09E-43,300,NA,NA
301,0,0.999982883,7.83E-07,1.63E-05,1.86E-18,8.91E-20,1.04E-19,8.13E-47,301,NA,NA
302,0,0.999320043,3.11E-05,0.000648855,2.70E-20,4.48E-20,2.89E-19,1.73E-49,302,NA,NA
303,0,0.974811534,2.43E-16,0.025188466,3.53E-15,1.36E-20,1.80E-16,9.57E-42,303,NA,NA
304,0,0.999351145,0.000648855,4.24E-17,2.50E-24,3.53E-18,2.77E-19,9.84E-47,304,NA,NA
305,0,0.974811534,0.025188466,3.83E-16,5.49E-21,1.14E-15,5.81E-17,1.56E-42,305,NA,NA
306,0,0.99999999,1.34E-19,1.01E-08,8.76E-24,3.92E-25,1.73E-23,3.07E-49,306,NA,NA
307,0,0.999999598,4.82E-19,4.02E-07,6.18E-21,8.51E-24,2.79E-21,1.46E-46,307,NA,NA
308,0,0.999984047,7.14E-18,1.60E-05,2.01E-18,8.14E-23,1.11E-19,1.50E-44,308,NA,NA
309,0,0.999366285,9.60E-18,0.000633715,1.88E-17,4.58E-23,4.02E-18,8.54E-45,309,NA,NA
310,0,0.974826302,1.87E-16,0.025173698,2.76E-15,9.47E-21,1.42E-16,4.64E-42,310,NA,NA
311,0,1,5.11E-18,9.73E-18,2.46E-22,2.47E-22,8.08E-32,1.22E-43,311,NA,NA
312,0,1,7.37E-19,7.38E-19,1.47E-23,1.47E-23,4.01E-33,4.33E-46,312,NA,NA
313,0,1,7.44E-18,7.44E-18,4.38E-22,4.38E-22,1.20E-31,3.84E-43,313,NA,NA
314,0,1,8.14E-19,8.14E-19,1.52E-23,1.52E-23,4.41E-33,4.64E-46,314,NA,NA
315,0,1,5.38E-18,5.38E-18,2.89E-22,2.89E-22,6.77E-32,1.68E-43,315,NA,NA
316,0,1,6.59E-18,6.59E-18,2.48E-22,2.48E-22,6.48E-32,1.24E-43,316,NA,NA
317,0,1,1.84E-19,1.84E-19,1.30E-24,1.30E-24,1.06E-34,3.37E-48,317,NA,NA
318,0,1,6.86E-19,6.86E-19,5.95E-24,5.95E-24,3.90E-33,7.09E-47,318,NA,NA
319,0,1,6.03E-18,6.03E-18,1.23E-22,1.23E-22,9.74E-32,3.04E-44,319,NA,NA
320,0,1,3.73E-18,3.73E-18,7.71E-23,7.71E-23,4.62E-32,1.19E-44,320,NA,NA
