20571unihon 0.034618 0.000010 0.008615 0.211748 0.294360 0.450649
20572unihon 0.031144 0.000010 0.018507 0.203363 0.311669 0.435307
20599nighon 0.069444 0.000010 0.003440 0.325985 0.257336 0.343785
20600nighon 0.065461 0.000010 0.000010 0.337692 0.244498 0.352329
20601nighon 0.062907 0.000010 0.002722 0.338748 0.234677 0.360936
20602nighon 0.075533 0.000010 0.000010 0.327493 0.243185 0.353770
20603nighon 0.063680 0.000010 0.000010 0.297743 0.266091 0.372466
20604nighon 0.065058 0.000010 0.000010 0.320329 0.245157 0.369436
20605nighon 0.072438 0.000010 0.003500 0.312080 0.256827 0.355145
20606nighon 0.066468 0.000799 0.000010 0.320781 0.244944 0.366999
20607nighon 0.065706 0.000010 0.000010 0.320657 0.239758 0.373859
20608nighon 0.074589 0.000010 0.000010 0.324923 0.227056 0.373412
20609nighon 0.067158 0.000010 0.000010 0.337036 0.225728 0.370057
20610nighon 0.063526 0.000010 0.001006 0.328574 0.256635 0.350249
20613ranhon 0.066763 0.000010 0.000010 0.227317 0.240559 0.465341
20615gumhon 0.999950 0.000010 0.000010 0.000010 0.000010 0.000010
20617gumhon 0.999950 0.000010 0.000010 0.000010 0.000010 0.000010
20625puehon 0.028451 0.000010 0.036300 0.220937 0.454044 0.260258
20633puehon 0.036114 0.000010 0.020219 0.243665 0.300636 0.399356
20635puehon 0.034234 0.001087 0.042624 0.221891 0.292479 0.407685
20638puehon 0.032325 0.000010 0.025215 0.267176 0.307119 0.368155
20641gumhon 0.999950 0.000010 0.000010 0.000010 0.000010 0.000010
20642gumhon 0.999950 0.000010 0.000010 0.000010 0.000010 0.000010
20643gumhon 0.999950 0.000010 0.000010 0.000010 0.000010 0.000010
20644abehon 0.124884 0.000010 0.000010 0.248515 0.253231 0.373351
20650prohon 0.021488 0.000010 0.000010 0.532106 0.283882 0.162504
20696ranhon 0.049157 0.000010 0.030238 0.149342 0.168266 0.602987
20751guthon 0.318741 0.000010 0.036383 0.056566 0.464118 0.124182
20757indhon 0.000010 0.000010 0.993774 0.000010 0.006186 0.000010
20759abehon 0.115087 0.000010 0.003228 0.179889 0.355963 0.345824
20761abehon 0.110400 0.000010 0.004308 0.173035 0.360740 0.351507
20762abehon 0.113260 0.000010 0.028881 0.133241 0.454955 0.269653
20845prohon 0.017975 0.000010 0.029148 0.452628 0.428937 0.071302
20846prohon 0.011448 0.000010 0.023186 0.473584 0.419259 0.072513
20861abehon 0.096817 0.000010 0.004673 0.179683 0.368938 0.349879
20862abehon 0.055577 0.000010 0.000010 0.242342 0.306349 0.395713
20864abehon 0.140379 0.000010 0.006263 0.164214 0.349012 0.340122
20866abehon 0.119058 0.000010 0.005071 0.172447 0.363048 0.340366
20867abehon 0.131446 0.000010 0.000963 0.155311 0.352626 0.359644
20892ranhon 0.047476 0.000010 0.024156 0.193049 0.173574 0.561736
20893ranhon 0.026221 0.000010 0.084094 0.125627 0.473669 0.290379
20894ranhon 0.044003 0.000010 0.073249 0.082366 0.466715 0.333657
20896ranhon 0.041852 0.000010 0.016113 0.188845 0.188947 0.564233
20922ranhon 0.031339 0.000010 0.059301 0.156269 0.356719 0.396363
20923ranhon 0.050723 0.000010 0.071073 0.087186 0.443618 0.347390
20980ranhon 0.037469 0.000010 0.080173 0.096503 0.469627 0.316218
23301gumboc 0.999950 0.000010 0.000010 0.000010 0.000010 0.000010
23318gutboc 0.352124 0.000010 0.040350 0.018558 0.557531 0.031427
23322affboc 0.032983 0.000010 0.000010 0.489000 0.124575 0.353422
