18904nigboc 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010
18905nigboc 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010
18906nigboc 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010
18907nigboc 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010
18909nigboc 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010
18912pueboc 0.004596 0.037390 0.000010 0.000010 0.000010 0.694408 0.007092 0.256474 0.000010
18915pueboc 0.000010 0.035819 0.000010 0.000010 0.000010 0.694355 0.009352 0.260423 0.000010
18917pueboc 0.000010 0.041227 0.000010 0.000010 0.000010 0.682575 0.006237 0.269911 0.000010
18935affboc 0.012248 0.007988 0.074553 0.013112 0.032396 0.317668 0.096587 0.445438 0.000010
18936affboc 0.009792 0.000010 0.021370 0.000010 0.013435 0.395166 0.114916 0.445291 0.000010
18949abegun 0.014319 0.024598 0.000010 0.000010 0.062583 0.646203 0.061410 0.190857 0.000010
18986affboc 0.015292 0.018567 0.068711 0.006101 0.024306 0.356704 0.101121 0.409187 0.000010
19076gutbar 0.221655 0.000010 0.621165 0.157120 0.000010 0.000010 0.000010 0.000010 0.000010
19077tanbar 0.000010 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
19079tanbar 0.000010 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
19080gutbar 0.195124 0.000016 0.621836 0.182974 0.000010 0.000010 0.000010 0.000010 0.000010
19104puegun 0.015253 0.023050 0.043864 0.020691 0.120977 0.655669 0.011884 0.108602 0.000010
19105niggun 0.012292 0.053309 0.037934 0.112645 0.060522 0.432787 0.053918 0.236583 0.000010
19106puegun 0.005622 0.033994 0.053846 0.051696 0.085011 0.607351 0.010988 0.151481 0.000010
19108puegun 0.017807 0.038481 0.031329 0.000010 0.117233 0.660829 0.017009 0.117292 0.000010
19124indgun 0.000010 0.895122 0.000010 0.000010 0.000010 0.079092 0.000010 0.025726 0.000010
19131niggun 0.012945 0.042802 0.025994 0.040317 0.043219 0.581428 0.052193 0.201092 0.000010
19150niggun 0.000010 0.048249 0.080708 0.120624 0.122485 0.248186 0.027880 0.351848 0.000010
19162indgun 0.000010 0.970387 0.000010 0.029543 0.000010 0.000010 0.000010 0.000010 0.000010
19174affgun 0.019359 0.000010 0.062948 0.000010 0.009124 0.596905 0.136732 0.174902 0.000010
19190indgun 0.000010 0.893116 0.000010 0.000010 0.000010 0.101941 0.000010 0.004883 0.000010
19235gutgun 0.314974 0.019351 0.325026 0.340591 0.000012 0.000010 0.000010 0.000015 0.000010
19294affgun 0.021730 0.000010 0.028250 0.000011 0.015905 0.594699 0.155628 0.183757 0.000010
19416chlbar 0.000010 0.000010 0.853254 0.146676 0.000010 0.000010 0.000010 0.000010 0.000010
19425chlbar 0.021531 0.000010 0.846367 0.132042 0.000010 0.000010 0.000010 0.000010 0.000010
19426puebar 0.000010 0.001223 0.855160 0.140153 0.000010 0.000010 0.000010 0.000010 0.003415
19427puebar 0.000010 0.001780 0.846741 0.150091 0.000010 0.000010 0.000010 0.000010 0.001338
19428puebar 0.000010 0.000010 0.846224 0.153197 0.000010 0.000010 0.000010 0.000010 0.000519
19435chlbar 0.064538 0.000010 0.805048 0.130355 0.000010 0.000010 0.000010 0.000010 0.000010
19437tanbar 0.000010 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
19519affgun 0.013389 0.027262 0.048730 0.041082 0.046180 0.558244 0.089011 0.176093 0.000010
19546abegun 0.007614 0.024496 0.033710 0.000010 0.045369 0.631363 0.067033 0.189605 0.000800
19708abegun 0.014717 0.030424 0.000010 0.000010 0.055301 0.668758 0.053235 0.177536 0.000010
19881unibel 0.009771 0.057602 0.196439 0.174528 0.151099 0.398015 0.012526 0.000010 0.000010
20068gutbel 0.300228 0.031390 0.351147 0.312114 0.005081 0.000010 0.000010 0.000010 0.000010
20069gutbel 0.213686 0.057590 0.295512 0.319853 0.041562 0.046139 0.025637 0.000010 0.000010
20092unibel 0.005475 0.043564 0.129298 0.105332 0.185236 0.518060 0.013017 0.000010 0.000010
20120unibel 0.014852 0.067606 0.195559 0.160566 0.164435 0.382022 0.014940 0.000010 0.000010
20126unibel 0.014695 0.064670 0.186112 0.169688 0.177086 0.356850 0.030879 0.000010 0.000010
20128unibel 0.017553 0.075249 0.169413 0.173116 0.137464 0.415420 0.011763 0.000010 0.000010
20135unibel 0.015564 0.057484 0.186751 0.170475 0.157643 0.403596 0.008466 0.000010 0.000010
20149unibel 0.005427 0.038456 0.118275 0.062120 0.182672 0.566810 0.026221 0.000010 0.000010
20418gumhon 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20419gumhon 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20420gumhon 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20421ranhon 0.046187 0.002026 0.075127 0.000010 0.164599 0.531844 0.135471 0.044726 0.000010
20425abehon 0.092213 0.000010 0.069492 0.000010 0.262696 0.477509 0.048391 0.049669 0.000010
