18917pueboc 0.076246 0.830070 0.000010 0.093674
18935affboc 0.031281 0.886563 0.000010 0.082147
18936affboc 0.021717 0.897787 0.000010 0.080486
18949abegun 0.055587 0.827872 0.000010 0.116531
18986affboc 0.041644 0.867471 0.000010 0.090875
19076gutbar 0.000010 0.551141 0.009441 0.439408
19077tanbar 0.004672 0.720319 0.011777 0.263232
19079tanbar 0.007249 0.716895 0.011319 0.264537
19080gutbar 0.003739 0.536992 0.011166 0.448103
19104puegun 0.052335 0.815477 0.000010 0.132177
19105niggun 0.083422 0.805706 0.000573 0.110299
19106puegun 0.061104 0.816897 0.000010 0.121989
19108puegun 0.067821 0.802886 0.000010 0.129282
19124indgun 0.910609 0.089371 0.000010 0.000010
19131niggun 0.070499 0.811838 0.000010 0.117653
19150niggun 0.074987 0.843085 0.000010 0.081918
19162indgun 0.983927 0.000010 0.000010 0.016053
19174affgun 0.027674 0.837495 0.000010 0.134822
19190indgun 0.907361 0.085823 0.000010 0.006806
19235gutgun 0.037951 0.469797 0.007173 0.485079
19294affgun 0.033193 0.838218 0.000010 0.128579
19416chlbar 0.000010 0.707137 0.020515 0.272337
19425chlbar 0.000010 0.681958 0.019776 0.298256
19426puebar 0.001220 0.717200 0.023295 0.258285
19427puebar 0.001060 0.724959 0.021610 0.252371
19428puebar 0.004169 0.711120 0.023008 0.261703
19435chlbar 0.000010 0.644132 0.019231 0.336627
19437tanbar 0.011514 0.715213 0.014796 0.258477
19519affgun 0.056363 0.818665 0.000010 0.124962
19546abegun 0.055164 0.826932 0.000010 0.117894
19708abegun 0.061484 0.819811 0.000010 0.118695
19881unibel 0.087021 0.745246 0.002675 0.165058
20068gutbel 0.046226 0.481748 0.006167 0.465859
20069gutbel 0.079003 0.537822 0.005745 0.377430
20092unibel 0.076016 0.771139 0.003597 0.149248
20120unibel 0.097637 0.727717 0.004923 0.169723
20126unibel 0.097189 0.732452 0.002806 0.167553
20128unibel 0.105850 0.721505 0.003263 0.169383
20135unibel 0.086838 0.738451 0.005163 0.169549
20149unibel 0.070520 0.782781 0.002196 0.144503
20418gumhon 0.000010 0.000010 0.000010 0.999970
20419gumhon 0.000010 0.000010 0.000010 0.999970
20420gumhon 0.000010 0.000010 0.000010 0.999970
20421ranhon 0.039413 0.793718 0.000010 0.166859
20425abehon 0.022789 0.775577 0.000010 0.201624
20426gumhon 0.000010 0.000010 0.000010 0.999970
20427gumhon 0.000010 0.000010 0.000010 0.999970
20428gumhon 0.000010 0.000010 0.000010 0.999970
20429ranhon 0.029221 0.799325 0.000010 0.171443
20430ranhon 0.028261 0.798157 0.000010 0.173572
20433abehon 0.027300 0.782305 0.000218 0.190178
20435chlhon 0.036169 0.777729 0.000010 0.186092
20551puehon 0.041956 0.807406 0.003982 0.146656
20552puehon 0.031602 0.816519 0.001795 0.150084
20553puehon 0.040174 0.806161 0.002921 0.150743
20554puehon 0.041505 0.804669 0.001411 0.152414
20555puehon 0.044415 0.803998 0.002013 0.149574
20556puehon 0.046323 0.807789 0.001284 0.144604
20558puehon 0.040204 0.805813 0.000017 0.153966
20559puehon 0.037649 0.809186 0.000010 0.153156
20560unihon 0.047029 0.810104 0.000758 0.142108
20561unihon 0.046708 0.804705 0.000010 0.148578
20562unihon 0.062420 0.788674 0.001702 0.147204
20563unihon 0.049495 0.804098 0.000280 0.146127
20564unihon 0.052273 0.803439 0.001280 0.143009
20565unihon 0.048079 0.797584 0.001211 0.153127
20566unihon 0.047257 0.804905 0.002376 0.145461
20567unihon 0.046951 0.808402 0.000010 0.144636
20568unihon 0.051643 0.799973 0.000010 0.148375
20571unihon 0.044800 0.808025 0.000731 0.146445
20572unihon 0.053284 0.799040 0.001644 0.146032
20599nighon 0.031369 0.807706 0.000010 0.160915
20600nighon 0.028929 0.817503 0.000010 0.153558
20601nighon 0.033224 0.816465 0.000010 0.150300
20602nighon 0.026620 0.807668 0.000010 0.165702
20603nighon 0.025901 0.812267 0.000010 0.161822
20604nighon 0.028088 0.815056 0.000010 0.156846
20605nighon 0.032313 0.800966 0.000010 0.166711
20606nighon 0.030089 0.810551 0.001224 0.158136
20607nighon 0.026853 0.816312 0.000195 0.156640
20608nighon 0.029555 0.808777 0.000010 0.161658
20609nighon 0.027159 0.818600 0.000010 0.154231
20610nighon 0.030070 0.814709 0.000010 0.155210
20613ranhon 0.031438 0.798523 0.000010 0.170029
20615gumhon 0.000010 0.000010 0.000010 0.999970
20617gumhon 0.000010 0.000010 0.000010 0.999970
20625puehon 0.055084 0.769373 0.003972 0.171572
20633puehon 0.051980 0.802237 0.000010 0.145772
20635puehon 0.075071 0.779667 0.002912 0.142350
20638puehon 0.054881 0.804370 0.000633 0.140116
20641gumhon 0.000018 0.000010 0.000010 0.999962
20642gumhon 0.000010 0.000010 0.000010 0.999970
20643gumhon 0.000010 0.000010 0.000010 0.999970
20644abehon 0.025035 0.753775 0.000010 0.221181
20650prohon 0.010920 0.891845 0.000010 0.097225
20696ranhon 0.081894 0.765752 0.000010 0.152344
20751guthon 0.041672 0.497770 0.000949 0.459609
20757indhon 0.994709 0.000010 0.000010 0.005271
20759abehon 0.029270 0.733868 0.000010 0.236852
20761abehon 0.030358 0.735553 0.000558 0.233532
20762abehon 0.047359 0.689232 0.003213 0.260196
20845prohon 0.034063 0.831470 0.000822 0.133645
20846prohon 0.028361 0.847182 0.001039 0.123419
20861abehon 0.030684 0.746292 0.001224 0.221800
20862abehon 0.024318 0.808042 0.000528 0.167111
