18447uniboc 0.826936 0.082931 0.000010 0.033455 0.000010 0.022373 0.016277 0.000010 0.002508 0.015490
18448uniboc 0.789783 0.085886 0.000010 0.061593 0.000010 0.052436 0.007849 0.000010 0.002413 0.000010
18449gumboc 0.000010 0.000010 0.825528 0.065708 0.000010 0.000010 0.000010 0.000010 0.000010 0.108694
18450uniboc 0.795034 0.087088 0.000010 0.055319 0.000010 0.035992 0.018472 0.000010 0.001627 0.006438
18452abeboc 0.462468 0.008137 0.098586 0.146922 0.048318 0.195533 0.007692 0.000010 0.000019 0.032314
18454uniboc 0.793108 0.087399 0.000010 0.074417 0.000010 0.031811 0.013215 0.000010 0.000010 0.000010
18471abeboc 0.436942 0.000010 0.113777 0.158837 0.038772 0.215986 0.000010 0.000010 0.000010 0.035647
18492abebel 0.565780 0.007060 0.012495 0.000010 0.113773 0.213156 0.077087 0.000010 0.006292 0.004337
18493abebel 0.543674 0.000010 0.024298 0.000010 0.121848 0.203344 0.074177 0.000010 0.007318 0.025311
18901nigboc 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18902nigboc 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18903nigboc 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18904nigboc 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18905nigboc 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18906nigboc 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18907nigboc 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18909nigboc 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18912pueboc 0.693656 0.256520 0.004523 0.000010 0.007101 0.000010 0.034329 0.000010 0.003831 0.000010
18915pueboc 0.693450 0.260487 0.000010 0.000010 0.009239 0.000010 0.033614 0.000010 0.003159 0.000010
18917pueboc 0.681634 0.269997 0.000010 0.000010 0.006166 0.000010 0.040013 0.000010 0.002140 0.000010
18935affboc 0.317523 0.445130 0.012237 0.074150 0.096448 0.032991 0.008732 0.000010 0.000010 0.012769
18936affboc 0.394823 0.444678 0.009746 0.020749 0.114943 0.015021 0.000010 0.000010 0.000010 0.000010
18949abegun 0.645442 0.190759 0.014289 0.000010 0.061308 0.062643 0.024029 0.000010 0.001500 0.000010
18986affboc 0.356776 0.408959 0.015287 0.068377 0.100983 0.024694 0.019148 0.000010 0.000010 0.005757
19076gutbar 0.000019 0.000013 0.221699 0.621047 0.000010 0.000015 0.000010 0.000010 0.000010 0.157166
19077tanbar 0.000010 0.000011 0.000010 0.999900 0.000010 0.000010 0.000019 0.000010 0.000010 0.000010
19079tanbar 0.000010 0.000013 0.000010 0.999907 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
19080gutbar 0.000010 0.000011 0.195163 0.621858 0.000010 0.000010 0.000010 0.000010 0.000010 0.182907
19104puegun 0.655215 0.108380 0.015210 0.043097 0.011873 0.121669 0.021060 0.000010 0.002869 0.020616
19105niggun 0.433046 0.237001 0.012345 0.038074 0.053867 0.059153 0.054235 0.000016 0.000010 0.112252
19106puegun 0.607269 0.151433 0.005616 0.053365 0.010910 0.085003 0.033766 0.000010 0.001096 0.051532
19108puegun 0.660365 0.117279 0.017773 0.030718 0.017010 0.117337 0.033229 0.000010 0.006269 0.000010
19124indgun 0.070906 0.024118 0.000010 0.000010 0.000010 0.000010 0.459997 0.000010 0.444919 0.000010
