SampleID	Species	Location	Sample	Date	Latitude	Longitude	Accession
20864	H. aberrans	Honduras	20864abehon	2006-06-07	15.25	-82.61667	ERS4141266
20866	H. aberrans	Honduras	20866abehon	2006-06-07	15.25	-82.61667	ERS4141267
20867	H. aberrans	Honduras	20867abehon	2006-06-07	15.25	-82.61667	ERS4141268
PL17_75	H. aberrans	Puerto Rico	PL17_75abepri	2017-03-22	NA	NA	ERS14948458
PL17_79	H. aberrans	Puerto Rico	PL17_79abepri	2017-03-22	NA	NA	NA
27698	H. aberrans	Quintana, Mexico	27698abequi	NA	NA	NA	NA
FL0839	H. aberrans	San Andres, Colombia	FL0839abesan	NA	NA	NA	NA
18935	H. affinis	Bocas del Toro, Panama	18935affboc	2005-03-27	9.25081	-82.13061	NA
18936	H. affinis	Bocas del Toro, Panama	18936affboc	2005-03-27	9.25081	-82.13061	NA
18986	H. affinis	Bocas del Toro, Panama	18986affboc	2005-03-25	9.29833	-82.28944	NA
23322	H. affinis	Bocas del Toro, Panama	23322affboc	2009-09-17	NA	NA	NA
19174	H. affinis	Guna Yala, Panama	19174affgun	2005-05-07	9.58019	-78.69406	NA
19294	H. affinis	Guna Yala, Panama	19294affgun	2005-05-22	9.57647	-78.72912	NA
19519	H. affinis	Guna Yala, Panama	19519affgun	2005-05-14	9.29072	-78.14039	NA
54689	H. atlahua	Anton Lizardo, Mexico	54689atlliz	NA	NA	NA	NA
54761	H. atlahua	Anton Lizardo, Mexico	54761atlliz	NA	NA	NA	NA
54786	H. atlahua	Anton Lizardo, Mexico	54786atlliz	NA	NA	NA	NA
54849	H. atlahua	Anton Lizardo, Mexico	54849atlliz	NA	NA	NA	NA
27936	H. atlahua	Tamiahua, Mexico	27936atltam	NA	NA	NA	NA
52988	H. atlahua	Tamiahua, Mexico	52988atltam	NA	NA	NA	NA
52989	H. atlahua	Tamiahua, Mexico	52989atltam	NA	NA	NA	NA
52990	H. atlahua	Tamiahua, Mexico	52990atltam	NA	NA	NA	NA
54649	H. castroaguirrei	Anton Lizardo, Mexico	54649casliz	NA	NA	NA	NA
54650	H. castroaguirrei	Anton Lizardo, Mexico	54650casliz	NA	NA	NA	NA
19416	H. chlorurus	Barbados	19416chlbar	2005-06-06	13.22369	-59.64506	NA
19425	H. chlorurus	Barbados	19425chlbar	2005-06-06	13.22369	-59.64506	NA
19435	H. chlorurus	Barbados	19435chlbar	2005-06-06	13.22369	-59.64506	NA
20435	H. chlorurus	Honduras	20435chlhon	2006-06-04	15.95583	-83.29306	NA
FL0331	H. chlorurus	Puerto Rico	FL0331chlpri	NA	NA	NA	NA
PL17_37	H. chlorurus	Puerto Rico	PL17_37chlpri	2017-03-15	17.95282	-67.05643	ERS14948469
PL17_38	H. chlorurus	Puerto Rico	PL17_38chlpri	2017-03-15	17.95282	-67.05643	ERS14948464
PL17_39	H. chlorurus	Puerto Rico	PL17_39chlpri	2017-03-15	17.95282	-67.05643	ERS14948460
PL17_40	H. chlorurus	Puerto Rico	PL17_40chlpri	2017-03-15	17.95282	-67.05643	ERS14948466
PL17_41	H. chlorurus	Puerto Rico	PL17_41chlpri	2017-03-15	17.95282	-67.05643	ERS14948462
PL17_42	H. chlorurus	Puerto Rico	PL17_42chlpri	2017-03-15	17.95282	-67.05643	ERS14948467
PL17_43	H. chlorurus	Puerto Rico	PL17_43chlpri	2017-03-15	17.95282	-67.05643	ERS14948461
PL17_44	H. chlorurus	Puerto Rico	PL17_44chlpri	2017-03-15	17.95282	-67.05643	ERS14948463
