21May3678_F08-L1_S118_L004_R1_001.fastq.gz,21May3678_F08-L1_S118_L004_R2_001.fastq.gz,19416chlbar,19416chlbar.L4,19416chlbar-2,ILLUMINA,6000
21May3678_F09-L1_S119_L002_R1_001.fastq.gz,21May3678_F09-L1_S119_L002_R2_001.fastq.gz,19106puegun,19106puegun.L2,19106puegun-2,ILLUMINA,6000
21May3678_F09-L1_S119_L003_R1_001.fastq.gz,21May3678_F09-L1_S119_L003_R2_001.fastq.gz,19106puegun,19106puegun.L3,19106puegun-2,ILLUMINA,6000
21May3678_F09-L1_S119_L004_R1_001.fastq.gz,21May3678_F09-L1_S119_L004_R2_001.fastq.gz,19106puegun,19106puegun.L4,19106puegun-2,ILLUMINA,6000
21May3678_F10-L1_S120_L002_R1_001.fastq.gz,21May3678_F10-L1_S120_L002_R2_001.fastq.gz,18493abebel,18493abebel.L2,18493abebel-2,ILLUMINA,6000
21May3678_F10-L1_S120_L003_R1_001.fastq.gz,21May3678_F10-L1_S120_L003_R2_001.fastq.gz,18493abebel,18493abebel.L3,18493abebel-2,ILLUMINA,6000
21May3678_F10-L1_S120_L004_R1_001.fastq.gz,21May3678_F10-L1_S120_L004_R2_001.fastq.gz,18493abebel,18493abebel.L4,18493abebel-2,ILLUMINA,6000
21May3678_F11-L1_S121_L002_R1_001.fastq.gz,21May3678_F11-L1_S121_L002_R2_001.fastq.gz,Bocas16.3torboc,Bocas16.3torboc.L2,Bocas16.3torboc-2,ILLUMINA,6000
21May3678_F11-L1_S121_L003_R1_001.fastq.gz,21May3678_F11-L1_S121_L003_R2_001.fastq.gz,Bocas16.3torboc,Bocas16.3torboc.L3,Bocas16.3torboc-2,ILLUMINA,6000
21May3678_F11-L1_S121_L004_R1_001.fastq.gz,21May3678_F11-L1_S121_L004_R2_001.fastq.gz,Bocas16.3torboc,Bocas16.3torboc.L4,Bocas16.3torboc-2,ILLUMINA,6000
21May3678_F12-L1_S122_L002_R1_001.fastq.gz,21May3678_F12-L1_S122_L002_R2_001.fastq.gz,20481tighon,20481tighon.L2,20481tighon-2,ILLUMINA,6000
21May3678_F12-L1_S122_L003_R1_001.fastq.gz,21May3678_F12-L1_S122_L003_R2_001.fastq.gz,20481tighon,20481tighon.L3,20481tighon-2,ILLUMINA,6000
21May3678_F12-L1_S122_L004_R1_001.fastq.gz,21May3678_F12-L1_S122_L004_R2_001.fastq.gz,20481tighon,20481tighon.L4,20481tighon-2,ILLUMINA,6000
21May3678_G01-L1_S123_L002_R1_001.fastq.gz,21May3678_G01-L1_S123_L002_R2_001.fastq.gz,62515gemarc,62515gemarc.L2,62515gemarc-2,ILLUMINA,6000
21May3678_G01-L1_S123_L003_R1_001.fastq.gz,21May3678_G01-L1_S123_L003_R2_001.fastq.gz,62515gemarc,62515gemarc.L3,62515gemarc-2,ILLUMINA,6000
21May3678_G01-L1_S123_L004_R1_001.fastq.gz,21May3678_G01-L1_S123_L004_R2_001.fastq.gz,62515gemarc,62515gemarc.L4,62515gemarc-2,ILLUMINA,6000
21May3678_G02-L1_S124_L002_R1_001.fastq.gz,21May3678_G02-L1_S124_L002_R2_001.fastq.gz,54761nigliz,54761nigliz.L2,54761nigliz-2,ILLUMINA,6000
21May3678_G02-L1_S124_L003_R1_001.fastq.gz,21May3678_G02-L1_S124_L003_R2_001.fastq.gz,54761nigliz,54761nigliz.L3,54761nigliz-2,ILLUMINA,6000
21May3678_G02-L1_S124_L004_R1_001.fastq.gz,21May3678_G02-L1_S124_L004_R2_001.fastq.gz,54761nigliz,54761nigliz.L4,54761nigliz-2,ILLUMINA,6000
21May3678_G03-L1_S125_L002_R1_001.fastq.gz,21May3678_G03-L1_S125_L002_R2_001.fastq.gz,27698gutqui,27698gutqui.L2,27698gutqui-2,ILLUMINA,6000
21May3678_G03-L1_S125_L003_R1_001.fastq.gz,21May3678_G03-L1_S125_L003_R2_001.fastq.gz,27698gutqui,27698gutqui.L3,27698gutqui-2,ILLUMINA,6000
21May3678_G03-L1_S125_L004_R1_001.fastq.gz,21May3678_G03-L1_S125_L004_R2_001.fastq.gz,27698gutqui,27698gutqui.L4,27698gutqui-2,ILLUMINA,6000
21May3678_G04-L1_S126_L002_R1_001.fastq.gz,21May3678_G04-L1_S126_L002_R2_001.fastq.gz,29213indqui,29213indqui.L2,29213indqui-2,ILLUMINA,6000
21May3678_G04-L1_S126_L003_R1_001.fastq.gz,21May3678_G04-L1_S126_L003_R2_001.fastq.gz,29213indqui,29213indqui.L3,29213indqui-2,ILLUMINA,6000
21May3678_G04-L1_S126_L004_R1_001.fastq.gz,21May3678_G04-L1_S126_L004_R2_001.fastq.gz,29213indqui,29213indqui.L4,29213indqui-2,ILLUMINA,6000
21May3678_G05-L1_S127_L002_R1_001.fastq.gz,21May3678_G05-L1_S127_L002_R2_001.fastq.gz,62263pueala,62263pueala.L2,62263pueala-2,ILLUMINA,6000
21May3678_G05-L1_S127_L003_R1_001.fastq.gz,21May3678_G05-L1_S127_L003_R2_001.fastq.gz,62263pueala,62263pueala.L3,62263pueala-2,ILLUMINA,6000
21May3678_G05-L1_S127_L004_R1_001.fastq.gz,21May3678_G05-L1_S127_L004_R2_001.fastq.gz,62263pueala,62263pueala.L4,62263pueala-2,ILLUMINA,6000
21May3678_G06-L1_S128_L002_R1_001.fastq.gz,21May3678_G06-L1_S128_L002_R2_001.fastq.gz,FL0324tanpri,FL0324tanpri.L2,FL0324tanpri-2,ILLUMINA,6000
21May3678_G06-L1_S128_L003_R1_001.fastq.gz,21May3678_G06-L1_S128_L003_R2_001.fastq.gz,FL0324tanpri,FL0324tanpri.L3,FL0324tanpri-2,ILLUMINA,6000
21May3678_G06-L1_S128_L004_R1_001.fastq.gz,21May3678_G06-L1_S128_L004_R2_001.fastq.gz,FL0324tanpri,FL0324tanpri.L4,FL0324tanpri-2,ILLUMINA,6000
21May3678_G07-L1_S129_L002_R1_001.fastq.gz,21May3678_G07-L1_S129_L002_R2_001.fastq.gz,20069gutbel,20069gutbel.L2,20069gutbel-2,ILLUMINA,6000
21May3678_G07-L1_S129_L003_R1_001.fastq.gz,21May3678_G07-L1_S129_L003_R2_001.fastq.gz,20069gutbel,20069gutbel.L3,20069gutbel-2,ILLUMINA,6000
21May3678_G07-L1_S129_L004_R1_001.fastq.gz,21May3678_G07-L1_S129_L004_R2_001.fastq.gz,20069gutbel,20069gutbel.L4,20069gutbel-2,ILLUMINA,6000
21May3678_G08-L1_S130_L002_R1_001.fastq.gz,21May3678_G08-L1_S130_L002_R2_001.fastq.gz,19235gutgun,19235gutgun.L2,19235gutgun-2,ILLUMINA,6000
21May3678_G08-L1_S130_L003_R1_001.fastq.gz,21May3678_G08-L1_S130_L003_R2_001.fastq.gz,19235gutgun,19235gutgun.L3,19235gutgun-2,ILLUMINA,6000
21May3678_G08-L1_S130_L004_R1_001.fastq.gz,21May3678_G08-L1_S130_L004_R2_001.fastq.gz,19235gutgun,19235gutgun.L4,19235gutgun-2,ILLUMINA,6000
21May3678_G09-L1_S131_L002_R1_001.fastq.gz,21May3678_G09-L1_S131_L002_R2_001.fastq.gz,19105niggun,19105niggun.L2,19105niggun-2,ILLUMINA,6000
21May3678_G09-L1_S131_L003_R1_001.fastq.gz,21May3678_G09-L1_S131_L003_R2_001.fastq.gz,19105niggun,19105niggun.L3,19105niggun-2,ILLUMINA,6000
21May3678_G09-L1_S131_L004_R1_001.fastq.gz,21May3678_G09-L1_S131_L004_R2_001.fastq.gz,19105niggun,19105niggun.L4,19105niggun-2,ILLUMINA,6000
21May3678_G10-L1_S132_L002_R1_001.fastq.gz,21May3678_G10-L1_S132_L002_R2_001.fastq.gz,18492abebel,18492abebel.L2,18492abebel-2,ILLUMINA,6000
21May3678_G10-L1_S132_L003_R1_001.fastq.gz,21May3678_G10-L1_S132_L003_R2_001.fastq.gz,18492abebel,18492abebel.L3,18492abebel-2,ILLUMINA,6000
21May3678_G10-L1_S132_L004_R1_001.fastq.gz,21May3678_G10-L1_S132_L004_R2_001.fastq.gz,18492abebel,18492abebel.L4,18492abebel-2,ILLUMINA,6000
21May3678_G11-L1_S133_L002_R1_001.fastq.gz,21May3678_G11-L1_S133_L002_R2_001.fastq.gz,Bocas16.4torboc,Bocas16.4torboc.L2,Bocas16.4torboc-2,ILLUMINA,6000
21May3678_G11-L1_S133_L003_R1_001.fastq.gz,21May3678_G11-L1_S133_L003_R2_001.fastq.gz,Bocas16.4torboc,Bocas16.4torboc.L3,Bocas16.4torboc-2,ILLUMINA,6000
21May3678_G11-L1_S133_L004_R1_001.fastq.gz,21May3678_G11-L1_S133_L004_R2_001.fastq.gz,Bocas16.4torboc,Bocas16.4torboc.L4,Bocas16.4torboc-2,ILLUMINA,6000
21May3678_G12-L1_S134_L002_R1_001.fastq.gz,21May3678_G12-L1_S134_L002_R2_001.fastq.gz,20845prohon,20845prohon.L2,20845prohon-2,ILLUMINA,6000
21May3678_G12-L1_S134_L003_R1_001.fastq.gz,21May3678_G12-L1_S134_L003_R2_001.fastq.gz,20845prohon,20845prohon.L3,20845prohon-2,ILLUMINA,6000
21May3678_G12-L1_S134_L004_R1_001.fastq.gz,21May3678_G12-L1_S134_L004_R2_001.fastq.gz,20845prohon,20845prohon.L4,20845prohon-2,ILLUMINA,6000
21May3678_H02-L1_S136_L002_R1_001.fastq.gz,21May3678_H02-L1_S136_L002_R2_001.fastq.gz,52988atltam,52988atltam.L2,52988atltam-2,ILLUMINA,6000
21May3678_H02-L1_S136_L003_R1_001.fastq.gz,21May3678_H02-L1_S136_L003_R2_001.fastq.gz,52988atltam,52988atltam.L3,52988atltam-2,ILLUMINA,6000
21May3678_H02-L1_S136_L004_R1_001.fastq.gz,21May3678_H02-L1_S136_L004_R2_001.fastq.gz,52988atltam,52988atltam.L4,52988atltam-2,ILLUMINA,6000
21May3678_H03-L1_S137_L002_R1_001.fastq.gz,21May3678_H03-L1_S137_L002_R2_001.fastq.gz,54689atlliz,54689atlliz.L2,54689atlliz-2,ILLUMINA,6000
21May3678_H03-L1_S137_L003_R1_001.fastq.gz,21May3678_H03-L1_S137_L003_R2_001.fastq.gz,54689atlliz,54689atlliz.L3,54689atlliz-2,ILLUMINA,6000
21May3678_H03-L1_S137_L004_R1_001.fastq.gz,21May3678_H03-L1_S137_L004_R2_001.fastq.gz,54689atlliz,54689atlliz.L4,54689atlliz-2,ILLUMINA,6000
21May3678_H04-L1_S138_L002_R1_001.fastq.gz,21May3678_H04-L1_S138_L002_R2_001.fastq.gz,62550abearc,62550abearc.L2,62550abearc-2,ILLUMINA,6000
21May3678_H04-L1_S138_L003_R1_001.fastq.gz,21May3678_H04-L1_S138_L003_R2_001.fastq.gz,62550abearc,62550abearc.L3,62550abearc-2,ILLUMINA,6000
21May3678_H04-L1_S138_L004_R1_001.fastq.gz,21May3678_H04-L1_S138_L004_R2_001.fastq.gz,62550abearc,62550abearc.L4,62550abearc-2,ILLUMINA,6000
21May3678_H05-L1_S139_L002_R1_001.fastq.gz,21May3678_H05-L1_S139_L002_R2_001.fastq.gz,62558floarc,62558floarc.L2,62558floarc-2,ILLUMINA,6000
21May3678_H05-L1_S139_L003_R1_001.fastq.gz,21May3678_H05-L1_S139_L003_R2_001.fastq.gz,62558floarc,62558floarc.L3,62558floarc-2,ILLUMINA,6000
