Sample node,Individual,clade,small,large,out
34,18161puebel,large,0.015700347440390047,0.9842996525596136,0.0
35,18161puebel,large,0.018871614635469693,0.981128385364493,0.0
36,18162nigbel,large,0.014469893710103923,0.9855301062898943,0.0
37,18162nigbel,large,0.01598619632167755,0.9840138036782876,0.0
38,18163unibel,large,0.015218473378563325,0.984781526621361,0.0
39,18163unibel,large,0.015269361264660452,0.9847306387353337,0.0
40,18165nigbel,large,0.014505011096277757,0.9854949889036815,0.0
41,18165nigbel,large,0.014622675612575466,0.9853773243874349,0.0
42,18166puebel,large,0.014716397626810722,0.9852836023731557,0.0
43,18166puebel,large,0.01414794882160458,0.9858520511784123,0.0
44,18169puebel,large,0.01637679548095483,0.9836232045190109,0.0
45,18169puebel,large,0.01653966820286606,0.9834603317971186,0.0
46,18171nigbel,large,0.014780780730590541,0.9852192192693889,0.0
47,18171nigbel,large,0.013435322976354141,0.9865646770236407,0.0
48,18172puebel,large,0.01517684755710056,0.9848231524428959,0.0
49,18172puebel,large,0.015388982993894693,0.9846110170060799,0.0
50,18174puebel,large,0.015733000876142253,0.9842669991238423,0.0
51,18174puebel,large,0.01557644858049211,0.9844235514194726,0.0
52,18175puebel,large,0.01613389635548518,0.9838661036444664,0.0
53,18175puebel,large,0.015258421475854286,0.9847415785241239,0.0
54,18176puebel,large,0.014639665695858813,0.9853603343041283,0.0
55,18176puebel,large,0.014620151303666395,0.9853798486963221,0.0
56,18178puebel,large,0.014114943029792814,0.9858850569701684,0.0
57,18178puebel,large,0.01670724877632238,0.9832927512236741,0.0
58,18179puebel,large,0.013986316327976181,0.9860136836719537,0.0
59,18179puebel,large,0.014801871866698318,0.9851981281332874,0.0
60,18180puebel,large,0.014955405373440103,0.9850445946265645,0.0
61,18180puebel,large,0.015258676064606503,0.9847413239353283,0.0
62,18185nigbel,large,0.015015839099584136,0.9849841609003669,0.0
63,18185nigbel,large,0.016130034495082327,0.9838699655049246,0.0
64,18187nigbel,large,0.015534093041851552,0.9844659069581245,0.0
65,18187nigbel,large,0.013476781475961987,0.9865232185240483,0.0
66,18195indbel,large,0.00848058481398347,0.9915194151860025,0.0
67,18195indbel,large,0.008429214587872578,0.9915707854121131,0.0
68,18222indbel,large,0.009156292171341746,0.9908437078286375,0.0
69,18222indbel,large,0.008872244816027023,0.9911277551839579,0.0
70,18225indbel,large,0.013485237359113682,0.9865147626408632,0.0
71,18225indbel,large,0.012108435137763785,0.9878915648621994,0.0
72,18226indbel,large,0.008885340244916646,0.9911146597550694,0.0
73,18226indbel,large,0.009681070799260047,0.9903189292007091,0.0
74,18227indbel,large,0.010429055233423473,0.9895709447665537,0.0
75,18227indbel,large,0.009678072877256165,0.9903219271227245,0.0
76,18261unibel,large,0.01667749066062655,0.9833225093393511,0.0
77,18261unibel,large,0.01604173974343141,0.9839582602565257,0.0
78,18263abebel,large,0.016463957693234926,0.98353604230676,0.0
79,18263abebel,large,0.016096172205718812,0.9839038277942602,0.0
80,18267unibel,large,0.015295064613925985,0.9847049353860359,0.0
81,18267unibel,large,0.014815257289569032,0.9851847427103925,0.0
82,18274unibel,large,0.01635872543461324,0.9836412745653562,0.0
83,18274unibel,large,0.014712053736346108,0.9852879462636329,0.0
84,18276unibel,large,0.01650882745170336,0.9834911725482516,0.0
85,18276unibel,large,0.015760619261960183,0.9842393807379952,0.0
86,18418nigboc,large,0.011023071586216755,0.9889769284137635,0.0
87,18418nigboc,large,0.011390872757383347,0.9886091272425737,0.0
88,18419pueboc,large,0.014839817304565205,0.9851601826954288,0.0
89,18419pueboc,large,0.015270557858640798,0.9847294421413162,0.0
90,18420uniboc,large,0.015405707317049024,0.9845942926829087,0.0
91,18420uniboc,large,0.01460224791016305,0.9853977520897772,0.0
92,18421pueboc,large,0.016054146206002384,0.9839458537939785,0.0
93,18421pueboc,large,0.014199299189348423,0.985800700810617,0.0
94,18422pueboc,large,0.014326613368149124,0.9856733866318288,0.0
95,18422pueboc,large,0.015455650011214062,0.9845443499887431,0.0
96,18424nigboc,large,0.011694386307111112,0.9883056136928694,0.0
97,18424nigboc,large,0.010519530145502986,0.9894804698544509,0.0
98,18426pueboc,large,0.013616539261762702,0.9863834607381956,0.0
99,18426pueboc,large,0.015045972567631754,0.9849540274323382,0.0
100,18427pueboc,large,0.014193878899692139,0.9858061211002721,0.0
101,18427pueboc,large,0.015160397536816502,0.9848396024631494,0.0
102,18428nigboc,large,0.011404380990864637,0.9885956190091169,0.0
103,18428nigboc,large,0.013232121873656607,0.9867678781263417,0.0
104,18429pueboc,large,0.013942406317175275,0.9860575936827927,0.0
105,18429pueboc,large,0.015295073792145236,0.9847049262078346,0.0
