Sample node,Individual,Clade,gulf,carib,out
363,20761abehon,carib,0.01748574829876195,0.9825142517012133,0.0
364,20762abehon,carib,0.014796119482641338,0.9852038805173506,0.0
365,20762abehon,carib,0.013993619429427355,0.9860063805705427,0.0
366,20845prohon,carib,0.013851644267907918,0.9861483557320608,0.0
367,20845prohon,carib,0.013426026179543046,0.986573973820439,0.0
368,20846prohon,carib,0.013469693257612266,0.9865303067423785,0.0
369,20846prohon,carib,0.011859565742098933,0.9881404342578745,0.0
370,20861abehon,carib,0.013804347809558698,0.9861956521904088,0.0
371,20861abehon,carib,0.015891268987613533,0.9841087310123793,0.0
372,20862abehon,carib,0.015256858909281567,0.9847431410907046,0.0
373,20862abehon,carib,0.015306922553372865,0.984693077446589,0.0
374,20864abehon,carib,0.017236674444729434,0.9827633255552621,0.0
375,20864abehon,carib,0.014246604670089457,0.9857533953298914,0.0
376,20866abehon,carib,0.015006652939923358,0.984993347060039,0.0
377,20866abehon,carib,0.014823177344086232,0.9851768226559099,0.0
378,20867abehon,carib,0.01622610061082539,0.9837738993891457,0.0
379,20867abehon,carib,0.015611515986642704,0.9843884840133265,0.0
380,20892ranhon,carib,0.015514640970958456,0.9844853590290007,0.0
381,20892ranhon,carib,0.013789262388415225,0.9862107376115528,0.0
382,20893ranhon,carib,0.016460383485314214,0.9835396165146528,0.0
383,20893ranhon,carib,0.016756558735889684,0.9832434412640808,0.0
384,20894ranhon,carib,0.014077305255954978,0.9859226947440423,0.0
385,20894ranhon,carib,0.015797045780731562,0.9842029542192436,0.0
386,20896ranhon,carib,0.014160700339909292,0.9858392996600864,0.0
387,20896ranhon,carib,0.016554779727057736,0.9834452202729259,0.0
388,20922ranhon,carib,0.014108961136486272,0.985891038863509,0.0
389,20922ranhon,carib,0.015065958356341974,0.9849340416436324,0.0
390,20923ranhon,carib,0.014163053812768259,0.9858369461871935,0.0
391,20923ranhon,carib,0.014352909835400817,0.985647090164586,0.0
392,20980ranhon,carib,0.015053101141354042,0.9849468988586115,0.0
393,20980ranhon,carib,0.013914337866075975,0.986085662133892,0.0
394,23301gumboc,carib,0.00899200072333909,0.9910079992766414,0.0
395,23301gumboc,carib,0.010515510553851007,0.9894844894461203,0.0
396,23318gutboc,carib,0.014410268484544554,0.9855897315154347,0.0
397,23318gutboc,carib,0.012990417933194037,0.9870095820667899,0.0
398,23322affboc,carib,0.011964525545222772,0.9880354744547591,0.0
399,23322affboc,carib,0.014335524924615931,0.9856644750753626,0.0
400,27698gutqui,carib,0.014870428912375826,0.9851295710875898,0.0
